Timestamp,Email Address,I want to be a...,I can mentor someone in these areas...,I want mentorship in...,"As a mentor, I want to give coaching in...","As a mentee, I want to receive coaching in...",We will use your timezone to help make matches. Please let us know if you work atypical hours for your timezone.,Do you have any request or needs that you want to mention?
3/17/2020 8:14:08, bAr1@foo.com ,Mentor (I want to provide coaching and support),"Technical Leadership, Returning from Parental Leave",,,,I work nights,nope!
3/17/2020 8:14:08, bar2@foo.com ,Both,,,JS,Public Speaking,I work nights,nope!
3/17/2020 8:14:08, bar3@foo.com ,Mentee (I want to receive coaching and support),,"Stuff, Things",,,I work nights,it appears you froze time in March 2020. why is that?
3/17/2020 8:14:08, bar4@foo.com ,Both,,,JS,Public Speaking,I work nights,nope!
3/17/2020 8:14:08, bar4@foo.com ,Mentor (I want to provide coaching and support),,,JS,Public Speaking,I work nights,nope!
3/17/2020 8:14:08, bar5@foo.com ,Both,,,JS,Public Speaking,I work nights,nope!
3/17/2020 8:14:08, bar6@foo.com ,Mentee (I want to receive coaching and support),,,JS,Public Speaking,,nope!
3/17/2020 8:14:08, bar7@foo.com ,Both,,,JS,Public Speaking,I work nights,nope!
3/17/2020 8:14:08, bar8@foo.com ,Mentee (I want to receive coaching and support),,,JS,Public Speaking,I work nights,
3/17/2020 8:14:08, bar9@foo.com ,Mentee (I want to receive coaching and support),,,JS,Public Speaking,,nope!
3/17/2020 8:14:08, bar10@foo.com ,Mentee (I want to receive coaching and support),,,JS,Public Speaking,I work nights,nope!
3/17/2020 8:14:08, bar11@foo.com ,Mentee (I want to receive coaching and support),,,JS,Public Speaking,I work nights,nope!
3/17/2020 8:14:08, bar12@foo.com ,Mentee (I want to receive coaching and support),,,JS,Public Speaking,I work nights,










