Can Mentor Multiple,Email,Location,Manager,Mentee,Mentee Location,Requests From A Mentor,Mentor,Mentor Location,Mentoring Skills,Name,PMO Link,Special Requests,Submission Timestamp,Timezone Details,Title,Type
Yes,bar1@foo.com, US Remote(CO), Joe Schmo,bar5@foo.com, US Remote(NC),,unassigned,,"Technical Leadership, Returning from Parental Leave",Bahr Feu,https://people.mozilla.org/p/bahrfeu,nope!,3/17/2020 8:14:08,I work nights, Sr Whatsit,mentor
Maybe,bar2@foo.com, US Remote(CO), Joe Schmo,bar6@foo.com, US Remote(CO),Public Speaking,bar7@foo.com,,JS,Bahr Feu,https://people.mozilla.org/p/bahrfeu,nope!,3/17/2020 8:14:08,I work nights, Whatsit,both
,bar3@foo.com, US Remote(OR), Joe Schmo,unassigned,,"Stuff, Things",unassigned,,,FooBar,https://people.mozilla.org/p/foobar,it appears you froze time in March 2020. why is that?,3/17/2020 8:14:08,I work nights, Sr Whatsit,mentee
Yes,bar4@foo.com, Berlin Office, Joel Schmoel,bar11@foo.com,,Public Speaking,unassigned,,JS,Bar Foo,https://people.mozilla.org/p/barfoo,nope!,3/17/2020 8:14:08,I work nights, Sr Staff Whatsit,both
Yes,bar4@foo.com, Berlin Office, Joel Schmoel,unassigned,,,unassigned,,,Bar Foo,https://people.mozilla.org/p/barfoo,nope!,3/17/2020 8:14:08,I work nights, Sr Staff Whatsit,mentor
No,bar5@foo.com, US Remote(NC), Joe Schmo,bar7@foo.com,,Public Speaking,bar1@foo.com, US Remote(CO),JS,Bahr Feu,https://people.mozilla.org/p/bahrfeu,nope!,3/17/2020 8:14:08,I work nights, Whatsit,both
No,bar6@foo.com, US Remote(CO), Jolene Schmoh,unassigned,,,bar2@foo.com, US Remote(CO),,  Bahr Feu,https://people.mozilla.org/p/bahrfeu,nope!,3/17/2020 8:14:08,, Mgr of Whatsits,mentee
Yes,bar7@foo.com,,,bar2@foo.com, US Remote(CO),Public Speaking,bar5@foo.com, US Remote(NC),JS,,,nope!,3/17/2020 8:14:08,I work nights,,both
Maybe,bar8@foo.com,,,unassigned,,,unassigned,,,,,,3/17/2020 8:14:08,I work nights,,mentee
No,bar9@foo.com,,,unassigned,,,bar4@foo.com, Berlin Office,,,,,3/17/2020 8:14:08,,,mentee
No,bar10@foo.com,,,unassigned,,,unassigned,,,,,nope!,3/17/2020 8:14:08,I work nights,,mentee
Yes,bar11@foo.com,,,unassigned,,,bar4@foo.com, Berlin Office,,,,nope!,3/17/2020 8:14:08,I work nights,,mentee
,bar12@foo.com,,,unassigned,,,unassigned,,,,,Maybe,3/17/2020 8:14:08,I work nights,,mentee
